ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,8,76161000,10,580,SP,1,817800,1,1,2,Exportação
2020,5,35079049,10,589,MG,1,817800,224,224,3839,Exportação
2020,1,25081000,10,756,SP,0,817800,108000,108000,49529,Exportação
2020,7,84213990,11,63,SP,7,1017500,10450,6529,63997,Exportação
2020,6,84091000,10,249,GO,4,817700,69,69,3375,Exportação
2020,4,40169300,10,249,SP,1,817800,4586,4586,236156,Exportação
2020,2,82042000,10,741,SP,0,917800,9,9,303,Exportação
2020,10,2022090,10,434,SP,12,817800,34,34,111,Exportação
2020,6,32082020,10,845,PR,7,1017701,751,751,3759,Exportação
2020,12,85389090,10,586,RS,7,917500,24,24,524,Exportação
2020,9,39209990,10,586,PR,7,917500,2283,2283,4312,Exportação
2020,5,76169900,10,628,RJ,4,817700,31,31,666,Exportação
2020,7,84249090,10,63,SP,4,817700,241,243,84728,Exportação
2020,6,8055000,10,573,PA,1,217800,71280,71280,44704,Exportação
2020,10,17019900,21,249,GO,1,817800,8071,8071723,4906682,Exportação
2020,9,39023000,10,63,RJ,0,1017500,8400,8400,34108,Exportação
2020,7,69111090,10,858,SP,0,817800,21,21,112,Exportação
2020,7,84339090,10,586,SP,7,917500,28376,28376,195662,Exportação
2020,12,48025610,10,317,SP,1,817800,45551,45551,22662,Exportação
2020,7,84229090,10,63,SP,4,817700,72,85,42308,Exportação
2020,11,85118020,11,83,SP,4,817600,2,0,66,Exportação
2020,6,8044000,10,538,SP,0,717800,20,20,26,Exportação
2020,1,73143900,10,586,RS,7,917500,29,29,192,Exportação
2020,12,88033000,10,249,SP,4,817700,1503,1503,854117,Exportação
2020,1,61169300,13,845,SC,0,817600,2,0,7,Exportação
2020,2,52010020,21,576,MT,1,817800,10240,10239082,15580458,Exportação
2020,3,40161010,10,239,SP,1,817800,5,5,187,Exportação
2020,2,85041000,11,476,RS,0,917800,7,7,58,Exportação
2020,7,20011000,10,586,PR,7,917500,675,675,1860,Exportação
2020,8,30043915,10,97,SP,4,817600,88,88,22080,Exportação
2020,10,85472090,10,586,SC,15,917500,50,50,31,Exportação
2020,8,84229090,10,63,SP,4,817600,53,53,24362,Exportação
2020,9,10059010,10,858,MT,1,817800,343038785,343038785,56214717,Exportação
2020,7,84833029,11,249,PR,1,917800,472,30,782,Exportação
2020,9,84219999,10,169,SP,4,817700,1123,1091,17495,Exportação
2020,9,84811000,11,97,SP,7,147600,349,234,6092,Exportação
2020,9,7049000,10,538,SP,0,817800,117,118,134,Exportação
2020,3,68022100,15,249,ES,0,817800,9910,9910,6383,Exportação
2020,4,21011110,21,580,ES,0,727600,5,20,609,Exportação
2020,5,62069000,11,249,SP,4,817700,8,7,906,Exportação
2020,9,84143091,11,589,SP,1,817800,3,8,453,Exportação
2020,9,73269090,10,275,SC,1,927700,10,10,63,Exportação
2020,5,44092900,16,23,PA,1,217800,198,197972,181573,Exportação
2020,4,12122100,10,467,ES,0,817800,0,0,11,Exportação
2020,4,20079990,10,580,ES,0,710251,4,4,62,Exportação
2020,4,32041700,10,63,SP,1,817800,820,820,8479,Exportação
2020,7,87084090,11,493,SP,4,817700,1136,2084,29453,Exportação
2020,3,84238900,11,229,SP,0,817800,36,4628,11472,Exportação
2020,2,49111010,10,169,RS,4,817600,8,8,26,Exportação
2020,2,90189099,11,317,SP,0,817600,8,498,18481,Exportação
2020,12,84439199,11,63,PR,4,817700,59,1256,83365,Exportação
2020,6,8039000,10,351,PR,0,917800,20,20,22,Exportação
2020,10,38249941,10,275,PR,0,917800,2,2,19,Exportação
2020,7,84099114,11,23,RS,0,1017700,200,4,301,Exportação
2020,7,63109000,10,628,PA,0,210200,205,205,646,Exportação
2020,10,90211010,10,73,SP,4,817700,36,36,5929,Exportação
